num_detections,total_damage_area_ratio,avg_box_area_ratio,max_box_area_ratio,min_box_area_ratio,var_box_area_ratio,damage_density,class_1_count,class_2_count,class_3_count,class_4_count,class_entropy,mean_confidence,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1
8,1.6169403791427612,0.20211754739284515,0.4937830865383148,0.0050199744291603565,0.03152022138237953,0.20211754739284515,5,0,0,3,0.6615632381579821,0.7379971742630005,1
5,0.7728158831596375,0.15456317365169525,0.4571765959262848,0.0003113136626780033,0.026961306110024452,0.15456317365169525,2,2,0,1,1.0549201679861442,0.647888720035553,1
4,0.825833797454834,0.2064584493637085,0.5279335379600525,0.045986078679561615,0.03600781038403511,0.2064584493637085,2,2,0,0,0.6931471805599453,0.591941773891449,1
5,0.9500582218170166,0.1900116503238678,0.3872564733028412,0.01948906108736992,0.025478234514594078,0.1900116503238678,2,3,0,0,0.6730116670092565,0.6052375435829163,1
2,0.1832018792629242,0.0916009396314621,0.15483364462852478,0.028368234634399414,0.003998375032097101,0.0916009396314621,0,1,0,1,0.6931471805599453,0.7425649762153625,1
3,0.4441438913345337,0.14804796874523163,0.2600224018096924,0.07184822857379913,0.006541501730680466,0.14804796874523163,0,3,0,0,0.0,0.6682307720184326,1
1,0.3202401101589203,0.3202401101589203,0.3202401101589203,0.3202401101589203,0.0,0.3202401101589203,0,1,0,0,0.0,0.7057532668113708,1
5,1.0251960754394531,0.20503921806812286,0.31868863105773926,0.11668424308300018,0.004858336411416531,0.20503921806812286,2,3,0,0,0.6730116670092565,0.683830738067627,1
6,0.47100716829299927,0.07850119471549988,0.2830072045326233,0.024513136595487595,0.008520565927028656,0.07850119471549988,0,6,0,0,0.0,0.8135344386100769,1
3,0.32295799255371094,0.10765266418457031,0.22793219983577728,0.028548162430524826,0.007473356556147337,0.10765266418457031,0,3,0,0,0.0,0.7194873690605164,1
1,0.37777936458587646,0.37777936458587646,0.37777936458587646,0.37777936458587646,0.0,0.37777936458587646,0,1,0,0,0.0,0.7455381155014038,1
4,0.3601948320865631,0.09004870802164078,0.28031662106513977,0.004323738627135754,0.012565603479743004,0.09004870802164078,0,2,1,1,1.0397207708399179,0.8848163485527039,1
4,0.3216736912727356,0.0804184228181839,0.2032851278781891,0.0044872453436255455,0.00588175468146801,0.0804184228181839,0,1,0,3,0.5623351446188083,0.7848542928695679,1
4,0.2193508893251419,0.05483772233128548,0.11839079111814499,0.0031671705655753613,0.002340557985007763,0.05483772233128548,1,2,0,1,1.0397207708399179,0.832240104675293,1
2,0.033321723341941833,0.016660861670970917,0.03158597648143768,0.001735746394842863,0.0002227590448455885,0.016660861670970917,0,1,1,0,0.6931471805599453,0.9355542659759521,1
5,1.1380866765975952,0.22761733829975128,0.5109449028968811,0.006387729663401842,0.03447631746530533,0.22761733829975128,2,3,0,0,0.6730116670092565,0.6160165667533875,1
5,0.7168998122215271,0.14337995648384094,0.43728017807006836,0.01594565063714981,0.02552088536322117,0.14337995648384094,0,3,0,2,0.6730116670092565,0.6414920091629028,1
6,0.3466399013996124,0.05777331814169884,0.21685758233070374,0.002267233096063137,0.006169930100440979,0.05777331814169884,0,3,0,3,0.6931471805599453,0.7888608574867249,1
5,0.552273154258728,0.11045463383197784,0.30237507820129395,0.0014697536826133728,0.012739310041069984,0.11045463383197784,0,4,0,1,0.5004024235381879,0.7335888743400574,1
3,0.7145506739616394,0.23818355798721313,0.5528419613838196,0.0020150216296315193,0.05364871025085449,0.23818355798721313,2,0,0,1,0.6365141682948128,0.6961421966552734,1
8,1.6104973554611206,0.20131215453147888,0.555471658706665,0.045348238199949265,0.03377348184585571,0.20131216943264008,3,2,3,0,1.0821955300387671,0.6986790895462036,1
2,0.2973434627056122,0.1486717313528061,0.17520186305046082,0.12214159220457077,0.0007038480835035443,0.1486717313528061,0,1,1,0,0.6931471805599453,0.8884798288345337,1
